Clique10	6	3	4	4	5	6	8	6	5	7	9	5	3	3	4	6	4	4	6	5	3	5	4	6	5	7	7	6	6	3	3	2	2	3	3	4	5	6	3	2	4	3	7	6	5	3	5	5	5	4	4	3	2	5	3	5	4	3	4	3	3	4	4	3	4	6	3	2	3	3	2	6	6	4	4	3	2	1	2	3	3	2	4	3	5	4	3	5	5	4	5	3	3	6	5	5	5	4	5	3	4	3	2	4	2	2	4	5	4	2	4	3	2	3	3	4	3	4	3	3	3	3	3	3	2	2	2	3	4	5	3	2	5	1	2	3	3	2	3	2	4	1	3	4	4	1	2	2	2	2	4	3	1	3	2	2	3	4	2	3	5	2	4	3	3	3	2	4	4	3	3	4	2	3	5	4	4	4	4	3	1	2	3	3	3	4	3	2	2	2	2	3	4	3	3	2	1	1	2	2	2	2	3	2	1	4	4	3	2	3	3	2	1	1	1	1	2	4	0	2	2	3	3	3	3	2	1	1	1	1	1	1	1	2	2	3	2	2	2	2	2	1	1	1	3	2	1	1	1	1	0	2	1	2	3	0	3	3	2	3	1	1	3	2	2	1	0	1	1	2	1	2	0	2	0	1	2	2	2	1	3	2	3	2	1	2	1	2	2	2	2	1	1	3	3	1	2	1	1	0	1	1	0	1	2	1	2	2	2	2	0	1	0	1	2	1	2	2	1	2	2	3	2	0	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	0	0	1	1	1	0	0	0	0	1	2	2	2	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	2	2	1	3	2	0	1	0	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clique11	4	3	3	4	7	4	6	8	3	3	5	9	5	4	3	5	6	5	4	2	2	5	4	6	5	5	6	7	6	2	4	3	2	2	3	3	7	7	5	4	6	5	6	5	6	3	5	4	4	4	4	4	3	4	5	5	6	4	3	2	3	4	4	3	3	4	3	2	2	2	1	4	3	3	3	3	1	1	3	4	3	2	4	3	3	5	4	4	4	5	5	3	2	4	4	5	5	6	5	5	5	4	3	3	3	2	4	3	4	2	2	3	2	3	3	3	4	5	4	2	5	3	3	3	3	3	3	3	2	3	2	1	3	2	3	4	4	3	4	2	3	2	4	2	2	2	3	2	2	1	2	3	2	2	2	2	1	3	1	2	4	2	5	3	1	2	1	2	3	2	5	4	3	3	4	4	2	3	4	3	2	3	2	3	5	4	4	4	1	1	2	3	2	2	1	1	1	2	2	2	1	1	3	2	2	2	2	2	1	1	1	2	1	1	1	1	1	3	1	3	3	3	2	2	2	3	2	2	2	2	2	1	2	3	2	1	1	1	1	3	2	2	2	1	2	1	1	1	1	1	0	1	0	0	1	1	1	1	1	2	1	1	1	1	2	2	0	2	2	0	0	0	1	0	1	1	2	1	2	1	2	3	3	3	1	2	1	2	1	2	3	1	1	2	2	2	3	0	0	0	1	0	0	1	2	1	2	1	1	2	0	1	0	1	1	1	1	1	1	3	2	4	3	0	2	1	1	1	1	1	1	1	2	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	2	2	1	3	2	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Clique12	5	6	6	5	8	6	5	7	4	3	3	5	9	8	7	6	8	7	3	3	5	5	5	4	4	3	2	3	2	3	3	4	4	4	3	3	3	3	6	7	5	6	4	3	4	5	4	4	4	5	5	5	6	3	5	3	4	3	2	2	2	3	4	2	2	2	2	0	1	1	1	1	1	4	2	2	1	3	4	3	5	4	4	3	3	3	4	2	1	3	2	1	3	2	2	3	2	4	3	5	4	3	4	3	3	3	2	3	4	6	4	5	5	3	3	2	3	4	5	3	4	3	1	1	4	1	1	5	4	3	1	1	2	3	3	2	2	2	1	0	1	1	2	1	0	1	1	0	0	1	1	0	1	3	3	3	2	2	2	2	2	3	2	1	3	3	3	2	2	2	2	1	2	4	1	1	3	2	1	2	3	2	3	4	3	2	2	3	3	3	2	2	2	2	3	2	4	4	0	0	3	3	2	1	2	1	2	3	3	3	2	3	4	1	0	0	1	1	2	1	1	0	1	1	0	1	1	1	1	1	1	0	3	2	1	1	1	1	1	2	1	1	1	0	0	0	0	0	0	0	0	2	2	2	1	2	0	0	1	0	0	0	1	0	0	1	0	1	1	1	1	1	2	2	3	4	3	2	1	1	2	2	3	2	2	1	1	1	2	1	2	1	1	1	1	3	2	2	2	2	3	2	3	2	2	2	1	1	1	1	2	2	1	0	1	1	1	0	0	3	0	2	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1	2	2	1	1	2	2	1	1	1	1	2	2	1	1	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Clique13	6	7	7	6	7	7	5	6	4	3	3	4	8	9	8	6	7	8	3	3	5	5	5	4	4	3	2	3	2	3	4	5	5	5	4	4	2	2	5	6	4	5	3	3	3	6	4	4	4	5	5	6	7	3	4	3	3	3	2	2	2	3	4	2	2	2	2	0	1	1	1	1	1	4	2	2	1	3	4	3	5	4	4	3	3	3	4	2	1	3	2	1	3	2	2	3	1	3	2	4	4	3	4	4	3	4	2	3	4	6	4	5	5	3	3	2	2	4	5	4	3	4	1	1	4	1	1	5	4	3	1	1	2	4	3	2	2	3	1	0	1	1	2	1	0	1	1	0	0	1	1	0	1	3	3	3	2	2	2	2	2	3	2	1	3	3	3	2	2	2	2	1	2	4	1	1	3	2	1	3	4	3	3	4	2	1	1	2	3	3	3	2	2	2	3	3	4	5	0	0	3	3	2	1	2	1	2	3	3	3	2	3	4	1	0	0	1	1	2	1	1	0	1	1	0	1	1	1	1	1	1	0	3	2	1	1	1	1	1	2	1	1	1	0	0	0	0	0	0	0	0	2	2	2	1	2	0	0	1	0	0	0	1	0	0	1	0	1	1	1	1	2	3	2	3	4	3	2	1	1	2	2	3	2	2	1	1	1	2	1	2	1	1	1	1	4	1	2	2	2	3	2	3	2	2	2	1	1	1	1	2	2	1	0	1	1	1	0	0	3	0	2	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	2	2	2	1	1	2	2	1	1	1	1	2	2	1	1	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clique14	7	7	8	6	6	8	6	5	5	4	4	3	7	8	9	7	6	7	4	4	6	5	5	4	4	3	2	3	2	3	4	5	5	6	4	5	2	2	4	5	3	4	3	3	3	5	3	5	5	6	6	6	7	4	4	3	3	2	2	2	1	2	3	1	2	2	1	0	1	1	1	1	2	5	3	1	1	4	4	3	5	4	4	3	3	3	4	2	1	3	2	1	3	3	2	2	1	3	2	4	3	2	3	4	2	4	2	4	3	5	5	4	4	2	2	2	2	4	5	5	3	4	1	1	3	0	0	4	5	4	1	1	3	4	3	1	2	3	0	0	1	0	1	2	0	0	0	0	0	1	1	0	0	3	2	2	3	2	2	2	2	4	1	1	4	3	3	3	2	2	1	1	1	3	2	1	4	2	1	3	4	3	3	3	1	1	1	2	4	4	3	2	3	2	4	3	5	5	0	0	4	4	2	1	1	2	3	3	3	4	3	2	3	1	0	0	1	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	3	2	1	2	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	2	2	3	2	2	0	1	1	0	0	0	1	0	0	0	0	0	0	2	2	3	2	3	3	4	3	2	1	1	2	1	2	1	2	1	1	1	2	1	1	1	1	2	2	4	1	3	3	2	3	3	3	2	2	2	1	2	2	1	2	2	1	0	1	1	2	1	0	2	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	2	1	1	1	1	0	0	0	0	0	0	0	0	2	1	1	1	2	2	1	1	1	2	2	1	1	1	1	2	1	1	2	0	1	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clique15	5	5	6	4	8	6	8	7	4	4	6	5	6	6	7	9	5	5	5	3	5	7	6	6	5	5	4	5	4	2	3	4	4	5	3	4	4	4	5	4	4	3	5	5	5	3	5	6	6	7	7	4	5	6	6	5	5	3	3	2	2	3	4	2	3	4	2	1	2	2	1	3	4	6	4	2	1	3	4	3	5	4	4	3	3	4	5	2	2	3	4	2	2	5	4	4	3	4	3	5	4	3	4	3	3	2	4	5	4	4	6	5	3	3	3	4	4	5	6	4	5	3	2	2	4	1	1	5	6	5	2	1	4	3	4	2	3	2	2	1	2	1	3	3	1	1	1	1	1	1	2	2	1	2	1	1	2	2	2	2	3	4	3	2	4	4	3	3	3	2	2	3	2	2	4	3	3	3	3	2	3	2	2	2	3	3	3	3	4	4	2	3	4	3	5	2	4	4	1	1	4	4	3	2	2	3	3	4	3	4	4	3	3	2	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	3	2	1	2	1	1	1	2	2	1	1	0	2	2	1	1	1	1	0	3	2	3	2	2	1	2	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	2	2	3	2	1	2	1	3	2	3	2	2	2	1	1	2	1	2	1	1	3	3	3	2	3	3	2	3	3	2	2	3	3	2	2	2	1	2	3	1	0	1	2	3	2	0	3	1	2	1	0	1	0	0	0	0	0	1	2	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	2	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	3	3	1	2	1	1	2	1	2	2	0	1	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clique16	6	5	5	6	7	7	6	8	5	4	4	6	8	7	6	5	9	8	4	4	4	4	4	5	5	4	3	4	3	4	4	3	3	3	4	4	4	4	5	6	6	7	5	4	5	6	5	4	4	4	4	6	5	3	4	4	5	4	3	3	3	4	5	3	3	3	3	1	2	2	2	2	1	3	2	3	2	2	3	4	4	3	5	4	4	4	3	3	2	4	3	2	4	3	3	4	3	5	4	4	5	4	3	4	3	4	3	4	5	5	3	4	5	4	4	2	3	5	4	3	4	4	2	2	3	2	2	4	3	4	2	2	3	2	2	3	3	3	2	1	2	1	2	2	1	1	2	1	1	2	2	1	1	4	4	4	3	3	2	3	3	2	3	2	2	2	2	3	3	3	3	2	2	5	2	2	4	3	2	3	2	3	4	5	3	2	2	3	2	2	3	3	3	3	2	2	3	3	1	1	2	2	3	2	1	2	3	2	2	2	1	2	3	1	0	0	2	2	1	2	2	1	1	2	1	2	1	1	1	1	1	0	2	3	2	2	2	2	2	2	1	1	1	1	1	0	0	0	0	0	0	1	1	1	2	1	0	0	2	1	1	1	2	0	1	1	0	1	1	1	1	1	2	2	2	3	4	3	1	1	2	2	3	2	1	1	1	2	2	2	2	1	1	1	1	2	2	1	1	1	2	1	2	2	2	1	2	1	1	2	1	1	0	1	2	1	1	0	1	2	1	3	2	0	2	1	1	1	1	1	0	0	1	0	1	1	2	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	2	1	1	1	2	2	1	1	1	1	1	2	2	1	2	2	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Clique17	7	6	6	7	6	8	6	7	5	4	4	5	7	8	7	5	8	9	4	4	4	4	4	5	5	4	3	4	3	4	5	4	4	4	5	5	3	3	4	5	5	6	4	4	4	7	5	4	4	4	4	7	6	3	3	4	4	4	3	3	3	4	5	3	3	3	3	1	2	2	2	2	1	3	2	3	2	2	3	4	4	3	5	4	4	4	3	3	2	4	3	2	4	3	3	4	2	4	3	3	5	4	3	5	3	5	3	4	5	5	3	4	5	4	4	2	2	5	4	4	3	5	2	2	3	2	2	4	3	4	2	2	3	3	2	3	3	4	2	1	2	1	2	2	1	1	2	1	1	2	2	1	1	4	4	4	3	3	2	3	3	2	3	2	2	2	2	3	3	3	3	2	2	5	2	2	4	3	2	4	3	4	4	5	2	1	1	2	2	2	4	3	3	3	2	3	3	4	1	1	2	2	3	2	1	2	3	2	2	2	1	2	3	1	0	0	2	2	1	2	2	1	1	2	1	2	1	1	1	1	1	0	2	3	2	2	2	2	2	2	1	1	1	1	1	0	0	0	0	0	0	1	1	1	2	1	0	0	2	1	1	1	2	0	1	1	0	1	1	1	1	2	3	2	2	3	4	3	1	1	2	2	3	2	1	1	1	2	2	2	2	1	1	1	1	3	1	1	1	1	2	1	2	2	2	1	2	1	1	2	1	1	0	1	2	1	1	0	1	2	1	3	2	0	2	1	1	1	1	1	0	0	1	0	1	1	2	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	2	1	1	2	2	2	1	1	1	1	1	2	2	1	2	2	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clique18	6	3	4	4	4	6	7	5	7	5	6	4	3	3	4	5	4	4	8	6	5	4	3	5	4	4	4	5	4	2	3	2	2	3	3	4	3	3	5	4	6	5	4	4	3	3	4	4	4	3	3	3	2	5	3	5	4	2	3	2	4	3	3	4	3	4	3	2	3	3	2	4	4	6	6	3	2	3	2	3	3	2	4	3	3	3	2	3	3	4	3	2	2	4	3	3	3	3	2	2	3	2	1	3	1	2	3	4	3	2	3	2	2	3	3	3	2	3	2	4	3	4	2	2	1	3	3	2	3	4	3	2	4	2	2	3	3	3	2	2	3	1	2	4	3	2	2	2	2	2	5	2	2	3	3	2	3	2	1	2	3	2	2	1	2	2	1	3	3	2	2	2	1	2	3	2	3	2	2	2	1	2	2	2	2	2	2	4	1	1	2	2	4	3	3	2	2	2	2	2	1	1	2	2	2	5	3	2	1	2	4	3	1	1	2	2	2	3	1	2	2	2	2	2	2	2	1	1	1	1	1	1	2	3	2	3	2	2	2	2	1	1	1	1	3	2	1	1	1	1	0	2	1	2	3	1	2	4	3	3	1	1	3	3	2	1	0	1	1	3	2	2	0	2	1	2	3	2	1	0	2	1	2	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	2	1	2	1	1	1	0	1	0	1	2	1	2	3	1	1	2	2	2	0	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	0	0	1	1	1	0	0	0	1	1	1	2	3	1	0	0	1	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clique19	6	3	4	4	2	6	5	3	7	5	5	2	3	3	4	3	4	4	6	8	5	2	2	3	3	3	3	3	3	3	2	1	1	2	2	3	2	2	3	4	4	5	3	3	2	4	3	3	3	2	2	3	2	3	1	3	2	1	2	2	3	2	2	3	2	3	2	1	2	2	2	3	3	4	4	2	2	3	1	2	2	1	3	2	3	2	1	3	2	3	2	1	3	3	2	2	2	2	2	1	2	1	0	3	0	3	2	3	2	3	2	1	3	2	2	2	1	2	1	3	1	3	1	1	0	2	2	1	2	3	2	2	3	1	1	2	2	2	1	1	2	0	1	3	2	1	1	1	1	2	4	1	1	5	4	3	5	2	1	2	2	1	1	1	2	1	1	3	2	2	1	1	0	3	2	1	4	2	1	2	0	1	3	3	1	1	1	2	1	1	2	2	3	2	2	2	2	1	1	1	1	1	1	1	1	4	3	1	1	2	3	2	1	0	1	1	2	2	0	1	1	1	1	2	1	1	0	0	0	0	0	0	1	2	2	4	3	3	3	1	1	0	0	1	2	1	0	0	0	0	0	1	1	2	3	0	1	3	4	2	1	1	3	2	1	0	0	0	0	4	3	3	1	3	1	2	3	3	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	1	1	0	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	0	0	1	2	0	1	2	1	0	1	1	1	0	3	2	2	1	1	1	0	1	0	0	2	1	2	1	1	1	0	0	0	1	1	0	0	0	0	1	1	2	3	1	0	0	1	1	0	0	0	2	2	1	2	1	2	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clique20	6	5	7	4	4	5	4	3	7	4	3	2	5	5	6	5	4	4	5	5	8	4	4	3	3	2	1	2	1	2	2	3	3	4	2	3	1	1	5	6	4	5	2	1	1	3	2	3	3	4	4	3	4	3	3	2	2	0	1	1	2	1	1	2	1	2	1	0	1	1	1	1	2	6	4	1	1	6	3	2	4	3	3	2	2	2	3	1	0	2	1	0	2	2	1	1	1	2	1	3	1	0	1	1	0	2	1	2	1	4	3	2	3	1	1	1	1	2	3	3	2	2	0	0	1	1	1	2	3	2	1	1	2	3	3	1	2	2	0	0	1	0	1	2	0	1	0	0	0	1	2	0	1	3	3	2	3	1	1	1	1	3	0	0	3	2	2	2	1	1	0	0	0	2	1	0	3	1	0	1	2	1	2	2	1	1	1	3	2	2	1	1	2	1	3	1	4	3	0	0	2	2	0	0	2	3	2	2	2	3	4	3	2	0	1	1	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	3	2	1	2	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	2	2	3	2	2	0	2	2	0	0	0	1	1	0	0	0	0	0	3	3	2	1	3	3	4	3	2	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	1	2	1	2	2	1	2	2	2	0	1	1	0	1	1	0	1	1	1	0	1	0	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	2	1	2	1	2	0	0	0	1	0	0	0	0	2	2	1	2	1	2	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clique21	4	6	5	5	7	4	6	6	3	3	5	5	5	5	5	7	4	4	4	2	4	8	7	7	6	6	4	5	4	3	3	4	5	4	4	3	4	4	5	4	4	3	5	4	4	2	4	4	4	5	5	3	4	4	5	4	4	2	4	3	2	3	3	2	3	4	2	2	2	3	2	3	3	5	3	2	2	2	4	3	5	4	4	3	4	4	5	2	2	3	5	3	2	4	5	4	3	4	3	5	3	2	3	2	2	1	3	3	3	3	4	4	2	2	2	3	3	4	5	2	4	2	3	2	3	1	1	4	4	3	3	2	3	3	4	2	3	2	2	1	2	1	3	2	1	1	1	1	2	1	2	2	1	3	1	1	1	2	3	2	3	3	3	2	3	5	4	2	4	3	2	3	2	2	3	4	2	3	3	3	3	2	3	2	3	3	3	3	2	2	1	2	2	2	3	1	2	3	1	1	2	2	2	1	2	2	2	5	4	3	3	3	2	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	3	2	1	1	2	2	1	2	2	1	1	0	1	1	1	2	2	2	1	4	3	2	1	2	1	1	1	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	2	3	2	1	3	2	4	2	3	2	2	3	2	1	3	1	2	1	1	2	2	3	2	1	1	1	2	1	1	1	2	2	1	1	1	1	1	2	1	0	1	1	1	1	0	3	1	2	1	0	1	0	0	0	0	0	1	1	1	2	2	1	1	2	1	1	0	0	1	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	2	3	3	1	2	1	0	1	0	1	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clique22	4	7	5	6	6	4	5	5	3	3	4	4	5	5	5	6	4	4	3	2	4	7	8	6	7	5	3	4	3	4	4	5	5	4	4	3	3	3	4	4	3	3	4	3	3	2	3	4	4	5	5	3	4	3	4	3	3	1	3	3	1	2	2	1	2	3	1	1	1	2	2	2	2	4	2	1	3	2	4	3	5	4	4	3	4	5	6	2	1	3	4	2	3	3	4	3	2	4	3	5	2	1	2	2	1	1	2	2	2	3	3	3	2	1	1	2	2	4	5	2	3	2	2	1	2	0	0	3	3	2	2	2	2	4	5	1	4	3	1	0	1	0	2	1	0	0	0	0	1	1	1	1	0	3	1	1	1	2	4	2	2	3	2	3	3	4	4	2	3	3	1	2	1	2	2	3	2	4	2	3	3	2	3	2	2	2	2	2	2	2	1	2	1	1	2	1	2	3	0	0	2	2	1	0	1	1	2	4	4	3	2	2	2	0	0	0	1	1	3	0	0	1	1	1	0	0	0	0	0	0	0	1	3	2	1	1	2	2	1	1	2	0	0	0	0	0	0	1	1	1	1	3	3	2	1	3	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	3	3	2	1	2	2	3	1	2	1	2	2	2	1	3	1	1	1	1	2	2	3	2	1	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	2	0	1	0	1	1	0	0	0	0	0	0	0	0	1	2	1	1	2	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	2	3	3	1	2	1	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clique23	5	5	4	6	6	5	7	7	4	4	6	6	4	4	4	6	5	5	5	3	3	7	6	8	7	7	5	6	5	4	4	3	4	3	5	4	5	5	4	3	5	4	6	5	5	3	5	4	4	4	4	4	3	4	4	5	5	3	5	4	3	4	4	3	4	5	3	3	3	4	3	4	3	4	3	3	3	1	3	4	4	3	5	4	5	5	4	3	3	4	6	4	3	5	6	5	4	5	4	4	4	3	2	3	2	2	4	4	4	2	3	3	2	3	3	3	3	5	4	2	4	3	4	3	2	2	2	3	3	4	4	3	4	2	3	3	4	3	3	2	3	1	3	3	2	1	2	2	3	2	3	3	1	4	2	2	2	3	3	3	4	2	4	3	2	4	3	3	5	4	3	4	2	3	4	5	3	4	4	4	2	3	4	3	3	3	3	3	1	1	2	3	3	3	2	1	1	2	2	2	1	1	3	2	1	3	3	4	3	2	2	2	1	1	1	1	2	3	1	2	2	3	2	2	2	2	1	1	1	1	1	2	2	3	2	2	3	3	2	2	2	1	1	1	2	1	1	2	2	2	1	3	2	1	2	1	1	1	2	2	1	1	2	1	2	1	0	1	1	0	0	0	0	1	1	2	3	2	3	2	4	2	3	2	1	3	2	2	3	2	2	1	1	2	2	2	2	0	0	0	1	0	0	1	2	1	2	1	1	2	0	1	0	1	2	1	1	1	1	2	2	3	2	0	2	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	2	2	2	1	3	2	0	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clique24	5	6	4	7	5	5	6	6	4	4	5	5	4	4	4	5	5	5	4	3	3	6	7	7	8	6	4	5	4	5	5	4	4	3	5	4	4	4	3	3	4	4	5	4	4	3	4	4	4	4	4	4	3	3	3	4	4	2	4	4	2	3	3	2	3	4	2	2	2	3	3	3	2	3	2	2	4	1	3	4	4	3	5	4	5	6	5	3	2	4	5	3	4	4	5	4	3	5	4	4	3	2	1	3	1	2	3	3	3	2	2	2	2	2	2	2	2	5	4	2	3	3	3	2	1	1	1	2	2	3	3	3	3	3	4	2	5	4	2	1	2	0	2	2	1	0	1	1	2	2	2	2	0	4	2	2	2	3	4	3	3	2	3	4	2	3	3	3	4	4	2	3	1	3	3	4	3	5	3	4	2	3	4	3	2	2	2	2	1	1	2	3	2	2	1	1	1	2	1	1	1	1	2	1	0	2	3	3	3	2	1	1	1	0	0	0	2	2	2	1	1	2	1	2	1	1	0	0	0	0	0	1	2	3	2	2	3	3	2	1	2	0	0	1	1	0	0	1	1	1	1	2	2	1	2	2	0	0	2	1	2	1	2	0	1	0	0	0	0	0	0	0	0	1	2	2	3	2	2	2	3	1	2	1	1	2	2	2	3	2	1	1	1	2	2	2	2	0	0	0	1	0	0	1	1	0	1	1	1	2	0	0	0	1	2	0	0	0	1	1	1	2	1	1	2	1	1	1	1	1	0	0	0	1	2	1	2	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	2	2	2	1	3	2	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
